tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42049011201,0.009449466,0.033085194,0.115187713,0.253125,0.210980392,0.238909239,0.243675534,0.177895198,0.123721526,125.3978869,0.001067692,3.2,0.28,7.2,-0.172413793,22.4,0.108910891,67570,0.177239229
1400000US42049011202,-0.052366864,-0.012620192,0.04886399,0.138557484,0.146582487,0.187857961,0.190924348,0.159202679,0.138993971,281.039501,0.058574784,3.6,1,0.7,-0.905405405,24.2,0.21,58750,0.05239588
1400000US42049011300,-0.24457429,-0.202714165,-0.127622378,0.023752969,0.029803922,0.021069692,0.268327259,0.232518087,0.14869207,6181.47448,-0.031111111,11.2,3.869565217,9.4,2.133333333,19.5,0.317567568,51725,0.250030209
1400000US42049011400,-0.149726776,-0.066889632,-0.062535858,0.034871245,0.050747863,0.04386452,0.184598021,0.117637495,0.106400378,2125.272331,-0.017870627,6.6,0.294117647,13.1,0.955223881,28.6,0.906666667,49953,-0.11174138
1400000US42049011503,-0.165995407,-0.148204226,-0.069872658,0.005986078,0.039939599,0.047509337,0.171981485,0.188143825,0.117381995,1734.114466,0.034965035,7,2.888888889,6.1,-0.282352941,23,0.105769231,59412,0.058414836
1400000US42049011505,-0.095964688,-0.033896289,0.039582555,0.077847196,0.10660982,0.118458121,0.173811884,0.140506109,0.078875566,326.6587678,0.038418079,4.9,0.256410256,4.8,0.066666667,26,-0.304812834,60263,0.071990181
1400000US42049011507,-0.049207852,-0.004908646,0.061485443,0.158777905,0.156192206,0.190185213,0.207985757,0.161100852,0.12869977,172.2578845,-0.069360675,5.6,1.24,10.1,0.87037037,23.9,-0.104868914,70938,0.16789595
1400000US42049011600,0.003088326,0.051649035,0.152284264,0.237278445,0.221905305,0.249853716,0.234190119,0.17025627,0.097569452,3245.587107,-0.021517816,5.3,0.23255814,10,0.030927835,25.5,0.59375,45889,0.244447458
1400000US42049011701,0.152097954,0.20175391,0.269892719,0.342652257,0.335919943,0.385152359,0.190554303,0.134166033,0.11525964,223.4167184,0.122187608,5.1,0.75862069,7.1,-0.470149254,31.6,0.179104478,56719,0.148739241
1400000US42049011702,0.126905957,0.178673785,0.233307864,0.347449668,0.32642567,0.356068252,0.220543711,0.147751885,0.122760388,83.22884268,-0.021443615,4,0.666666667,10,1.631578947,23.5,0.157635468,61875,0.140721212
1400000US42049011801,0.147959184,0.2,0.276595745,0.424265842,0.360565593,0.432,0.276306658,0.160565593,0.155404255,62.94602013,-0.015736767,2.9,-0.064516129,7.8,0.083333333,20.6,0.211764706,63085,0.111120896
1400000US42049011802,0.253202713,0.293849658,0.312111801,0.51420839,0.494182067,0.508722959,0.261005677,0.200332409,0.196611158,43.42559839,-0.050556726,3.1,0.068965517,5.7,-0.387096774,16.6,0.286821705,52328,0.120994002
1400000US42049011900,-0.003211009,0.04178273,0.060969755,0.318580193,0.315236427,0.354896676,0.321791202,0.273453697,0.293926921,1085.919253,-0.015279879,5.9,-0.191780822,9.4,-0.241935484,16.7,0.491071429,37454,0.292185613
1400000US42049012001,0.047342193,0.085141903,0.163822526,0.345697329,0.297952995,0.367938931,0.298355136,0.212811092,0.204116405,42.16484454,0.064604542,2.7,0.285714286,7,-0.066666667,17.8,0.065868263,54907,-0.01897479
1400000US42049012002,0.016111708,0.071038251,0.140924464,0.327032136,0.308357349,0.335960591,0.310920428,0.237319098,0.195036127,1777.04918,-0.02166065,1.3,-0.867346939,13.4,1.62745098,10.9,-0.273333333,38300,-0.04350432
1400000US42049012100,0.130846836,0.192319604,0.252289233,0.342279942,0.316817254,0.366507747,0.211433106,0.12449765,0.114218514,87.29036405,-0.009285051,3,0.111111111,4.5,-0.02173913,18.5,-0.036458333,53373,0.060355617
1400000US42049012201,0.013024142,0.088092933,0.144182963,0.182288497,0.174878345,0.231588844,0.169264355,0.086785412,0.087405881,82.49014588,0.001315357,4.7,-0.189655172,7.3,0.042857143,34.5,-0.148148148,67174,-0.039287196
1400000US42049012202,-0.288205599,-0.200192031,-0.164607019,-0.226306466,-0.182670835,-0.152044097,0.061899133,0.017521196,0.012562922,2818.460192,-0.012264296,11.3,-0.204225352,5.1,-0.163934426,40.4,-0.040380048,34074,0.145498554
1400000US42049012300,-0.152552493,-0.120312255,-0.054194108,0.042051795,0.068238624,0.07389837,0.194604288,0.188550879,0.128092478,1401.124819,0.057510612,7.2,0.8,12.1,0.375,27.9,0.143442623,66283,0.102218305
1400000US42049012400,-0.152456753,-0.126192296,-0.099368689,-0.01352362,0.019057769,1,0.138933133,0.145250065,1.099368689,342.1886425,-0.027700831,7,0.666666667,4.9,-0.620155039,32.2,0.129824561,38750,0.052817475
1400000US42049980109,-0.00269179,0.097297297,0.021709634,0.314102564,0.274484536,1,0.316794354,0.177187239,0.978290366,3283.261803,0.0546875,53.6,-0.105175292,null,N/A,0.5,-0.932432432,null,null
1400000US42051260100,0.022099448,-0.087537732,-0.097797357,0.295645226,0.156451613,0.2213868,0.273545778,0.243989345,0.319184157,541.2437174,-0.007947977,6,-0.210526316,7.8,0.591836735,12.3,-0.157534247,42143,0.307448888
1400000US42051260200,-0.017699115,-0.088888889,-0.095104108,0.222165992,0.104966718,0.180697051,0.239865107,0.193855607,0.275801159,198.9249782,-0.015685383,5.4,0.459459459,5.3,-0.561983471,20.5,0.433566434,45724,0.376648401
1400000US42051260300,0.265760441,0.216522666,0.230451831,0.467456798,0.328080562,0.444277352,0.201696357,0.111557896,0.213825521,177.9248852,0.017250258,3.9,0.772727273,7.3,-0.381355932,8.9,-0.032608696,45793,0.075786407
1400000US42051260401,0.382150844,0.315105098,0.28261576,0.57019835,0.419736177,0.420161512,0.188047506,0.104631079,0.137545752,209.5959596,0.015611814,0.5,-0.75,6.4,-0.39047619,12.9,-0.058394161,46635,0.240919614
1400000US42051260402,0.360378682,0.300631518,0.281094011,0.518961826,0.398497983,0.411106303,0.158583144,0.097866465,0.130012292,139.6967049,-0.057076664,1.7,0.0625,8.4,0.063291139,13.5,-0.296875,50976,0.02052011
1400000US42051260500,0.366322009,0.305899851,0.342668024,0.566192324,0.465389639,0.486450466,0.199870315,0.159489788,0.143782442,66.17874128,-0.018623111,1.5,0.5,9.8,0.580645161,12.5,0.5625,39970,0.10836892
1400000US42051260600,0.193167338,0.122178389,0.139577508,0.459523669,0.327304064,0.363692757,0.266356331,0.205125675,0.224115249,326.300556,-0.093141406,3.4,3.25,7.8,-0.212121212,9.3,-0.2734375,38438,0.092982257
